g29212	GO:0016020
g18626	GO:0004553,GO:0005975
g28468	GO:0005384,GO:0005886,GO:0006828,GO:0015086,GO:0016020,GO:0030001,GO:0034755,GO:0046873
g33706	GO:0005982,GO:0009570,GO:0043036,GO:2000904,GO:2001070
g157	GO:0005737,GO:0016567,GO:0061630
g34663	GO:0004672,GO:0005524,GO:0006468
g8699	GO:0005452,GO:0005886,GO:0006820,GO:0016020,GO:0022857,GO:0046715,GO:0050801,GO:0055085
g9921	GO:0003677
g29593	GO:0005874,GO:0007017
g33560	GO:0015074
g4401	GO:0003677
g11560	GO:0005504,GO:0009627
g16380	GO:0016757
g13635	GO:0035556,GO:0043539
g14662	GO:0010333,GO:0016114
g15246	GO:0008271,GO:1902358
g5834	GO:0004722,GO:0006470
g11438	GO:0003676,GO:0008270
g17699	GO:0016757
g24263	GO:0007165
g1442	GO:0004072,GO:0008652
g18260	GO:0004601,GO:0006979,GO:0020037
g14297	GO:0045892
g24259	GO:0008194
g5010	GO:0005829,GO:0016811
g10385	GO:0016740
g26677	GO:0008270
g24364	GO:0007165
g21454	GO:0006952
g21445	GO:0006281
g5343	GO:0046983
g2225	GO:0005515
g7089	GO:0030246
g1935	GO:0003735,GO:0005730,GO:0042273
g16542	GO:0000139,GO:0005801,GO:0006888,GO:0016020
g30728	GO:0009507
g33836	GO:0003724
g34590	GO:0005737
g16223	GO:0005049,GO:0005049,GO:0005643,GO:0005737,GO:0006611,GO:0051169
g35375	GO:0006511,GO:0061630
g35381	GO:0006511,GO:0061630
g6352	GO:0003677
g12862	GO:0004386
g36944	GO:0005524
g7212	GO:0006631,GO:0031956
g14870	GO:0046034,GO:1902600
g24410	GO:0046983
g10324	GO:0016491
g1394	GO:0005886,GO:0016174
g28971	GO:0000124,GO:0000124,GO:0003712,GO:0003712,GO:0006357
g16534	GO:0016567,GO:0031464
g321	GO:0005092,GO:0005093,GO:0005737,GO:0007264,GO:0016192
g8711	GO:0016020
g12865	GO:0003676
g36866	GO:0004553,GO:0005975
g7895	GO:0005506,GO:0016705
g30399	GO:0009507
g26219	GO:0003676,GO:0004523
g24276	GO:0005515
g18153	GO:0004672,GO:0005524,GO:0006468
g23765	GO:0005515
g25370	GO:0005515
g28690	GO:0005515
g36090	GO:0000226,GO:0000278,GO:0000922,GO:0000930,GO:0005815,GO:0007020,GO:0007020,GO:0031122,GO:0043015,GO:0043015,GO:0051011,GO:0051225,GO:0051321
g11083	GO:0003729,GO:0006402,GO:0032451
g2046	GO:0004497,GO:0005506,GO:0016705,GO:0020037
g5703	GO:0016020,GO:0016757
g36579	GO:0005515
g21577	GO:0005886,GO:0009506,GO:0098542
g2247	GO:0005515
g21240	GO:0005524,GO:0016887
g5070	GO:0004497,GO:0005506,GO:0016705,GO:0020037
g25827	GO:0004672,GO:0006468
g28912	GO:0005515
g17151	GO:0003677,GO:0006355
g26578	GO:0005515
g36593	GO:0003824
g33006	GO:0004672,GO:0005524,GO:0006468
g8469	GO:0008194
g33991	GO:0030246
g16774	GO:0005179,GO:0005576,GO:0048364,GO:1901371,GO:1902025,GO:2000280
g2116	GO:0004601
g5930	GO:0016020
g7087	GO:0004672,GO:0006468
g33890	GO:0005736,GO:0006352,GO:0006362
g26667	GO:0003824,GO:0016616
g30226	GO:0006482,GO:0051723
g846	GO:0004185,GO:0006508
g5776	GO:0016791,GO:0046856
g32867	GO:0015079,GO:0016020,GO:0071805
g34198	GO:0003700,GO:0005516,GO:0005634,GO:0043565,GO:0080142
g20668	GO:0005085
g13994	GO:0005515
g34534	GO:0005515
g25099	GO:0005783,GO:0005794,GO:0006612,GO:0016409,GO:0018230,GO:0019706
g28271	GO:0015098,GO:0015689
g6322	GO:0016491
g17109	GO:0003676,GO:0008270
g15917	GO:0004672,GO:0005524,GO:0006468
g32891	GO:0098542
g34554	GO:0000062,GO:0006631
g29806	GO:0046872
g33734	GO:0009733
g6490	GO:0005515
g11958	GO:0005515
g36055	GO:0005515
g16610	GO:0140359
g16369	GO:0005737,GO:0008676
g31983	GO:0005794,GO:0016413,GO:0016413
g1480	GO:0003755,GO:0006457
g29116	GO:0003677,GO:0006355
g11062	GO:0005227,GO:0005227,GO:0005886
g5774	GO:0000977,GO:0003682,GO:0005634,GO:0042393,GO:0045944
g20337	GO:0006952
g450	GO:0016491
g14435	GO:0004024,GO:0005829,GO:0008270,GO:0046294,GO:0051903
g11632	GO:0015074
g22910	GO:0004644,GO:0005737,GO:0006189,GO:0009507
g16658	GO:0080043,GO:0080044
g27013	GO:0016020,GO:0022857
g35071	GO:0005783,GO:0006644,GO:0071618
g25126	GO:0004869,GO:0004869
g27486	GO:0005515
g7595	GO:0015074
g35784	GO:0015031
g23369	GO:0004672,GO:0006468
g10695	GO:0004672,GO:0005524,GO:0006468
g21691	GO:0006402,GO:0030014
g33927	GO:0030247
g35306	GO:0005515
g36507	GO:0005515
g8844	GO:0003830,GO:0006044,GO:0016020,GO:0016757
g11166	GO:0005743,GO:0016020,GO:0032977,GO:0032977,GO:0032979,GO:0051205
g36334	GO:0050660,GO:0050661
g26889	GO:0016020
g33707	GO:0005515
g31665	GO:0030246
g22855	GO:0003676,GO:0008270
g23708	GO:0003676
g10233	GO:0003690,GO:0007131
g32704	GO:0003779
g5583	GO:0016020,GO:0022857,GO:0055085
g18973	GO:0005515
g25117	GO:0000165,GO:0004709,GO:0005737,GO:0006468
g24895	GO:0000290,GO:0000290,GO:0000932,GO:0003729,GO:0008047,GO:0031087,GO:0043085
g35781	GO:0009765,GO:0016020
g27050	GO:0000160
g3122	GO:0008194
g15356	GO:0009535,GO:0009579
g27053	GO:0004470,GO:0016616
g35974	GO:0000159,GO:0019888
g5140	GO:0005524,GO:0016887
g22606	GO:0005515
g32212	GO:0003676,GO:0008270
g17338	GO:0004730
g8890	GO:0016628
g21387	GO:0006479,GO:0008276
g24028	GO:0006629
g13010	GO:0005515
g1535	GO:0003690,GO:0003712,GO:0005634,GO:0006357
g6164	GO:0015267,GO:0016020,GO:0055085
g12919	GO:0000155,GO:0007165
g6252	GO:0046983
g21898	GO:0005737,GO:0006535,GO:0009001
g550	GO:0000166
g31594	GO:0046983
g36101	GO:0004252,GO:0006465
g27725	GO:0003924,GO:0005525
g23593	GO:0048544
g2294	GO:0005840
g7103	GO:0030246
g24856	GO:0005319,GO:0005543,GO:0009706
g19257	GO:0015074
g34809	GO:0005515
g24584	GO:0004672,GO:0005524,GO:0006468
g18573	GO:0007165
g17015	GO:0004470,GO:0004473,GO:0006090,GO:0006108,GO:0009507
g10530	GO:0004497,GO:0005506,GO:0016705,GO:0020037
g13822	GO:0003723
g24741	GO:0006812,GO:0008324,GO:0016020,GO:0055085
g14061	GO:0003700,GO:0006352,GO:0006355
g15285	GO:0005524
g30621	GO:0006355
g11376	GO:0003735,GO:0005840,GO:0006412
g7652	GO:0003777,GO:0005524,GO:0007018,GO:0008017
g17974	GO:0016702,GO:0046872
